(env) thedead@maccos 01 - 1-wire % python3 1-wire.py wss://signals.holidayhackchallenge.com/wire/dq -t 20 -v 
2025-12-14 22:59:14 | DEBUG    | 1-wire.py | main | Log mode set to: DEBUG
2025-12-14 22:59:14 | INFO     | 1-wire.py | getBusMessages | Connecting to websocket wss://signals.holidayhackchallenge.com/wire/dq
2025-12-14 22:59:15 | INFO     | 1-wire.py | getBusMessages | Receiving messages
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"type":"welcome","wire":"dq","message":"Connected to dq wire. Broadcasting continuously every 2000ms..."}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":0,"v":1,"marker":"idle"}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1,"v":0,"marker":"reset"}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":481,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":551,"v":0,"marker":"presence"}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":701,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":941,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1001,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1011,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1071,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1081,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1087,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1151,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1157,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1221,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1281,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1291,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1351,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1361,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1367,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1431,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1437,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1501,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1561,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1571,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1577,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1641,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1701,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1711,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1771,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1781,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1787,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1851,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1857,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1921,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1927,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":1991,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2051,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2061,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2067,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2131,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2191,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2201,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2207,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2271,"v":0}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2331,"v":1}
2025-12-14 22:59:15 | DEBUG    | 1-wire.py | getBusMessages | {"line":"dq","t":2341,"v":0}
