2025-12-17 01:35:57 | DEBUG    | i2c.py | main | Log mode set to: DEBUG
2025-12-17 01:35:57 | INFO     | i2c.py | main | ARGS: Namespace(websocket_sda_url='wss://signals.holidayhackchallenge.com/wire/sda', xor_key='bananza', verbose=2)
2025-12-17 01:35:57 | INFO     | i2c.py | getBusMessages | Connecting to websocket wss://signals.holidayhackchallenge.com/wire/sda
2025-12-17 01:35:57 | INFO     | i2c.py | getBusMessages | Receiving messages
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"type":"welcome","wire":"sda","message":"Connected to sda wire. Broadcasting continuously every 2000ms..."}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":0,"v":1,"marker":"bus-idle"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":2000,"v":0,"marker":"start"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":4000,"v":1,"marker":"address-bit","byteIndex":0,"bitIndex":0,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":14000,"v":0,"marker":"address-bit","byteIndex":0,"bitIndex":1,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":24000,"v":0,"marker":"address-bit","byteIndex":0,"bitIndex":2,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":34000,"v":1,"marker":"address-bit","byteIndex":0,"bitIndex":3,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":44000,"v":0,"marker":"address-bit","byteIndex":0,"bitIndex":4,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":54000,"v":0,"marker":"address-bit","byteIndex":0,"bitIndex":5,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":64000,"v":0,"marker":"address-bit","byteIndex":0,"bitIndex":6,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":74000,"v":0,"marker":"address-bit","byteIndex":0,"bitIndex":7,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":84000,"v":0,"marker":"ack-bit","byteIndex":0,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":94000,"v":1,"marker":"ack-release","byteIndex":0,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":94000,"v":0,"marker":"data-bit","byteIndex":1,"bitIndex":0,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":104000,"v":1,"marker":"data-bit","byteIndex":1,"bitIndex":1,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":114000,"v":0,"marker":"data-bit","byteIndex":1,"bitIndex":2,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":124000,"v":1,"marker":"data-bit","byteIndex":1,"bitIndex":3,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":134000,"v":0,"marker":"data-bit","byteIndex":1,"bitIndex":4,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":144000,"v":1,"marker":"data-bit","byteIndex":1,"bitIndex":5,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":154000,"v":1,"marker":"data-bit","byteIndex":1,"bitIndex":6,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":164000,"v":0,"marker":"data-bit","byteIndex":1,"bitIndex":7,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":174000,"v":0,"marker":"ack-bit","byteIndex":1,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":184000,"v":1,"marker":"ack-release","byteIndex":1,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":184000,"v":0,"marker":"data-bit","byteIndex":2,"bitIndex":0,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":194000,"v":1,"marker":"data-bit","byteIndex":2,"bitIndex":1,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":204000,"v":0,"marker":"data-bit","byteIndex":2,"bitIndex":2,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":214000,"v":1,"marker":"data-bit","byteIndex":2,"bitIndex":3,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":224000,"v":0,"marker":"data-bit","byteIndex":2,"bitIndex":4,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":234000,"v":1,"marker":"data-bit","byteIndex":2,"bitIndex":5,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":244000,"v":0,"marker":"data-bit","byteIndex":2,"bitIndex":6,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":254000,"v":0,"marker":"data-bit","byteIndex":2,"bitIndex":7,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":264000,"v":0,"marker":"ack-bit","byteIndex":2,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":274000,"v":1,"marker":"ack-release","byteIndex":2,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":274000,"v":0,"marker":"data-bit","byteIndex":3,"bitIndex":0,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":284000,"v":1,"marker":"data-bit","byteIndex":3,"bitIndex":1,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":294000,"v":0,"marker":"data-bit","byteIndex":3,"bitIndex":2,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":304000,"v":0,"marker":"data-bit","byteIndex":3,"bitIndex":3,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":314000,"v":1,"marker":"data-bit","byteIndex":3,"bitIndex":4,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":324000,"v":0,"marker":"data-bit","byteIndex":3,"bitIndex":5,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":334000,"v":1,"marker":"data-bit","byteIndex":3,"bitIndex":6,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":344000,"v":1,"marker":"data-bit","byteIndex":3,"bitIndex":7,"type":"data"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":354000,"v":0,"marker":"ack-bit","byteIndex":3,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":364000,"v":1,"marker":"ack-release","byteIndex":3,"type":"ack"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":368000,"v":1,"marker":"stop"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":368000,"v":1,"marker":"gap-start"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":408000,"v":1,"marker":"bus-idle"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":410000,"v":0,"marker":"start"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":412000,"v":0,"marker":"address-bit","byteIndex":0,"bitIndex":0,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":422000,"v":1,"marker":"address-bit","byteIndex":0,"bitIndex":1,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":432000,"v":1,"marker":"address-bit","byteIndex":0,"bitIndex":2,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":442000,"v":1,"marker":"address-bit","byteIndex":0,"bitIndex":3,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":452000,"v":1,"marker":"address-bit","byteIndex":0,"bitIndex":4,"type":"address"}
2025-12-17 01:35:57 | DEBUG    | i2c.py | getBusMessages | New message: {"line":"sda","t":462000,"v":0,"marker":"address-bit","byteIndex":0,"bitIndex":5,"type":"address"}
